TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787303913584,28.1,13.2,-0.1,0.0,15.0,11.2
63787303914647,29.1,14.2,-0.1,0.0,15.0,11.7
63787303915740,29.5,14.6,-0.1,0.0,15.0,12.3
63787303916802,28.0,13.1,-0.1,0.0,15.0,11.0
63787303917880,29.0,14.1,-0.1,0.0,15.0,11.7
63787303918958,29.8,14.9,-0.1,0.0,15.0,12.0
63787303920036,30.3,15.4,-0.1,0.0,15.0,13.5
63787303921111,30.1,15.2,-0.1,0.0,15.0,12.9
63787303922189,29.4,14.5,-0.1,0.0,15.0,12.3
63787303923283,29.7,14.8,-0.1,0.0,15.0,12.2
63787303924376,29.5,14.6,-0.1,0.0,15.0,11.9
63787303925454,29.4,14.5,-0.1,0.0,15.0,12.7
63787303926539,29.6,14.7,-0.1,0.0,15.0,11.6
63787303927626,28.5,13.6,-0.1,0.0,15.0,11.9
63787303928693,28.3,13.3,-0.1,0.0,15.0,12.8
63787303929787,28.8,13.9,-0.1,0.0,15.0,13.1
63787303930865,28.5,13.6,-0.1,0.0,15.0,12.5
63787303931951,27.7,12.8,-0.1,0.0,15.0,11.1
63787303933044,26.8,11.9,-0.1,0.0,15.0,11.3
63787303934126,27.3,12.4,-0.1,0.0,15.0,11.4
63787303935200,28.2,13.3,-0.1,0.0,15.0,12.3
63787303936294,27.0,12.1,-0.1,0.0,15.0,11.3
63787303937371,29.3,14.4,-0.1,0.0,15.0,13.1
63787303938456,27.4,12.5,-0.1,0.0,15.0,11.6
63787303939550,26.6,11.7,-0.1,0.0,15.0,11.0
63787303940615,26.0,11.1,-0.1,0.0,15.0,10.4
63787303941677,28.0,13.1,-0.1,0.0,15.0,12.5
63787303942774,28.1,13.2,-0.1,0.0,15.0,11.8
63787303943852,27.8,12.9,-0.1,0.0,15.0,10.7
63787303944929,27.6,12.7,-0.1,0.0,15.0,10.8
63787303946023,28.0,13.1,-0.1,0.0,15.0,10.9
63787303947101,28.7,13.8,-0.1,0.0,15.0,12.2
63787303948194,28.8,13.9,-0.1,0.0,15.0,11.4
63787303949288,28.4,13.5,-0.1,0.0,15.0,10.5
63787303950366,28.6,13.7,-0.1,0.0,15.0,10.7
63787303951443,28.9,14.0,-0.1,0.0,15.0,10.4
63787303952537,28.3,13.4,-0.1,0.0,15.0,10.6
63787303953599,27.1,12.2,-0.1,0.0,15.0,9.9
63787303954693,28.6,13.7,-0.1,0.0,15.0,10.9
63787303955783,28.7,13.8,-0.1,0.0,15.0,11.3
63787303956846,28.4,13.5,-0.1,0.0,15.0,10.7
63787303957924,28.7,13.8,-0.1,0.0,15.0,11.3
63787303959001,28.9,14.0,-0.1,0.0,15.0,10.4
63787303960079,27.7,12.8,-0.1,0.0,15.0,10.0
63787303961157,28.4,13.5,-0.1,0.0,15.0,10.6
63787303962251,27.9,13.0,-0.1,0.0,15.0,10.4
63787303963313,27.2,12.3,-0.1,0.0,15.0,9.7
63787303964391,28.7,13.8,-0.1,0.0,15.0,11.3
63787303965484,28.8,13.9,-0.1,0.0,15.0,10.9
