TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787048076910,27.6,12.7,-0.1,0.0,15.0,10.7
63787048078082,27.6,12.7,-0.1,0.0,15.0,11.1
63787048079250,27.4,12.5,-0.1,0.0,15.0,11.0
63787048080431,28.8,13.9,-0.1,0.0,15.0,12.2
63787048081602,26.9,12.0,-0.1,0.0,15.0,9.7
63787048082782,28.2,13.3,-0.1,0.0,15.0,11.3
63787048083938,29.3,14.4,-0.1,0.0,15.0,12.8
63787048085106,25.9,11.0,-0.1,0.0,15.0,9.1
63787048086290,26.6,11.6,-0.1,0.0,15.0,9.9
63787048087462,30.5,15.6,-0.1,0.0,15.0,13.5
63787048088646,29.8,14.9,-0.1,0.0,15.0,13.4
63787048089830,27.4,12.5,-0.1,0.0,15.0,10.7
63787048091001,29.4,14.5,-0.1,0.0,15.0,12.8
63787048092181,28.2,13.3,-0.1,0.0,15.0,11.4
63787048093337,27.7,12.8,-0.1,0.0,15.0,11.1
63787048094505,27.1,12.2,-0.1,0.0,15.0,10.3
63787048095674,28.5,13.6,-0.1,0.0,15.0,11.2
63787048096846,28.1,13.2,-0.1,0.0,15.0,10.5
63787048098015,27.1,12.2,-0.1,0.0,15.0,10.7
63787048099211,29.1,14.2,-0.1,0.0,15.0,12.2
63787048100398,31.2,16.3,-0.1,0.0,15.0,14.5
63787048101586,29.5,14.5,-0.1,0.0,15.0,12.9
63787048102773,29.4,14.5,-0.1,0.0,15.0,12.6
63787048103957,28.3,13.4,-0.1,0.0,15.0,11.7
63787048105144,29.3,14.4,-0.1,0.0,15.0,13.0
63787048106331,29.2,14.3,-0.1,0.0,15.0,12.8
63787048107513,29.2,14.3,-0.1,0.0,15.0,13.0
63787048108700,29.9,15.0,-0.1,0.0,15.0,13.6
63787048109887,26.7,11.8,-0.1,0.0,15.0,10.3
63787048111121,29.4,14.5,-0.1,0.0,15.0,12.3
63787048112324,28.6,13.7,-0.1,0.0,15.0,11.1
63787048113505,27.3,12.4,-0.1,0.0,15.0,10.9
