TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63786948679571,28.3,13.4,-0.1,0.0,15.0,10.8
63786948680758,28.4,13.5,-0.1,0.0,15.0,11.0
63786948681930,28.8,13.9,-0.1,0.0,15.0,11.6
63786948683117,29.4,14.5,-0.1,0.0,15.0,11.9
63786948684304,29.2,14.3,-0.1,0.0,15.0,12.1
63786948685491,30.1,15.2,-0.1,0.0,15.0,12.0
63786948686678,29.5,14.6,-0.1,0.0,15.0,11.6
63786948687850,31.7,16.8,-0.1,0.0,15.0,13.8
63786948689037,29.6,14.7,-0.1,0.0,15.0,12.3
63786948690225,29.9,15.0,-0.1,0.0,15.0,12.2
63786948691412,28.8,13.9,-0.1,0.0,15.0,11.1
63786948692583,28.5,13.6,-0.1,0.0,15.0,11.4
63786948693755,30.8,15.9,-0.1,0.0,15.0,13.2
63786948694927,29.7,14.8,-0.1,0.0,15.0,11.8
63786948696114,30.3,15.4,-0.1,0.0,15.0,12.2
63786948697301,28.5,13.6,-0.1,0.0,15.0,10.8
63786948698473,29.6,14.7,-0.1,0.0,15.0,11.6
63786948699644,30.0,15.1,-0.1,0.0,15.0,12.3
63786948700816,30.7,15.8,-0.1,0.0,15.0,12.7
63786948701987,29.9,15.0,-0.1,0.0,15.0,11.7
63786948703175,28.4,13.5,-0.1,0.0,15.0,11.4
63786948704346,29.5,14.5,-0.1,0.0,15.0,11.7
63786948705549,31.0,16.1,-0.1,0.0,15.0,12.3
63786948706721,28.7,13.8,-0.1,0.0,15.0,10.3
63786948707892,29.9,15.0,-0.1,0.0,15.0,12.4
63786948709064,30.6,15.7,-0.1,0.0,15.0,12.7
63786948710235,30.4,15.5,-0.1,0.0,15.0,12.8
63786948711407,29.9,15.0,-0.1,0.0,15.0,11.9
63786948712579,28.1,13.2,-0.1,0.0,15.0,9.5
63786948713750,28.1,13.2,-0.1,0.0,15.0,10.0
63786948714906,28.3,13.4,-0.1,0.0,15.0,10.1
63786948716078,29.1,14.2,-0.1,0.0,15.0,11.0
63786948717249,27.9,13.0,-0.1,0.0,15.0,10.0
63786948718405,29.3,14.4,-0.1,0.0,15.0,11.1
63786948719577,28.1,13.2,-0.1,0.0,15.0,10.7
63786948720733,28.6,13.7,-0.1,0.0,15.0,10.7
63786948721904,28.0,13.1,-0.1,0.0,15.0,10.3
63786948723092,28.1,13.2,-0.1,0.0,15.0,10.3
63786948724279,28.5,13.6,-0.1,0.0,15.0,10.1
63786948725451,29.5,14.6,-0.1,0.0,15.0,11.4
63786948726622,28.1,13.2,-0.1,0.0,15.0,10.5
63786948727794,28.3,13.4,-0.1,0.0,15.0,10.2
63786948728965,29.1,14.2,-0.1,0.0,15.0,11.2
63786948730137,28.5,13.6,-0.1,0.0,15.0,10.0
63786948731309,28.7,13.8,-0.1,0.0,15.0,10.5
63786948732464,27.4,12.5,-0.1,0.0,15.0,9.5
63786948733636,28.4,13.5,-0.1,0.0,15.0,10.9
63786948734808,28.1,13.2,-0.1,0.0,15.0,10.2
63786948735979,28.1,13.2,-0.1,0.0,15.0,10.3
63786948737151,29.0,14.1,-0.1,0.0,15.0,11.1
63786948738322,28.2,13.2,-0.1,0.0,15.0,10.5
63786948739478,29.3,14.4,-0.1,0.0,15.0,11.9
63786948740650,27.7,12.8,-0.1,0.0,15.0,10.5
63786948741822,28.5,13.6,-0.1,0.0,15.0,10.7
63786948742978,28.9,14.0,-0.1,0.0,15.0,11.0
63786948744149,29.1,14.2,-0.1,0.0,15.0,10.3
63786948745321,28.7,13.8,-0.1,0.0,15.0,10.5
63786948746492,28.7,13.8,-0.1,0.0,15.0,10.1
63786948747664,29.0,14.1,-0.1,0.0,15.0,10.5
63786948748836,27.5,12.6,-0.1,0.0,15.0,9.8
63786948750023,29.6,14.7,-0.1,0.0,15.0,11.3
63786948751194,29.1,14.2,-0.1,0.0,15.0,11.3
63786948752366,29.2,14.3,-0.1,0.0,15.0,10.6
63786948753522,29.3,14.4,-0.1,0.0,15.0,10.9
63786948754678,29.3,14.4,-0.1,0.0,15.0,12.9
63786948755850,26.1,11.2,-0.1,0.0,15.0,9.9
63786948757006,27.1,12.2,-0.1,0.0,15.0,10.6
63786948758177,26.6,11.7,-0.1,0.0,15.0,10.0
63786948759333,29.3,14.4,-0.1,0.0,15.0,13.0
63786948760489,27.6,12.7,-0.1,0.0,15.0,10.6
63786948761645,27.1,12.2,-0.1,0.0,15.0,10.5
63786948762817,26.4,11.5,-0.1,0.0,15.0,10.0
63786948763973,26.2,11.3,-0.1,0.0,15.0,9.9
63786948765129,27.5,12.6,-0.1,0.0,15.0,11.4
63786948766300,26.4,11.5,-0.1,0.0,15.0,9.8
63786948767487,27.7,12.8,-0.1,0.0,15.0,10.9
63786948768659,27.5,12.6,-0.1,0.0,15.0,10.6
63786948769831,27.1,12.2,-0.1,0.0,15.0,10.6
63786948771002,26.0,11.1,-0.1,0.0,15.0,9.8
63786948772158,26.2,11.3,-0.1,0.0,15.0,10.0
63786948773330,27.4,12.5,-0.1,0.0,15.0,10.8
63786948774501,27.4,12.5,-0.1,0.0,15.0,10.8
63786948775657,28.3,13.4,-0.1,0.0,15.0,12.1
63786948776813,26.6,11.7,-0.1,0.0,15.0,9.7
63786948777969,26.6,11.7,-0.1,0.0,15.0,10.0
63786948779125,27.0,12.1,-0.1,0.0,15.0,10.2
63786948780281,27.1,12.2,-0.1,0.0,15.0,10.7
63786948781437,27.7,12.8,-0.1,0.0,15.0,11.3
63786948782609,26.7,11.8,-0.1,0.0,15.0,10.4
63786948783765,26.8,11.9,-0.1,0.0,15.0,10.2
63786948784936,25.1,10.2,-0.1,0.0,15.0,8.8
63786948786092,26.7,11.8,-0.1,0.0,15.0,10.2
63786948787248,27.8,12.9,-0.1,0.0,15.0,11.5
63786948788404,26.0,11.1,-0.1,0.0,15.0,9.4
63786948789576,28.6,13.7,-0.1,0.0,15.0,12.4
63786948790748,27.7,12.8,-0.1,0.0,15.0,10.7
63786948791919,27.2,12.3,-0.1,0.0,15.0,11.1
63786948793091,27.7,12.8,-0.1,0.0,15.0,11.4
63786948794262,26.7,11.8,-0.1,0.0,15.0,10.4
63786948795434,26.9,12.0,-0.1,0.0,15.0,10.1
63786948796590,28.5,13.6,-0.1,0.0,15.0,11.9
63786948797762,27.3,12.4,-0.1,0.0,15.0,10.9
63786948798917,28.0,13.1,-0.1,0.0,15.0,11.3
63786948800089,27.6,12.7,-0.1,0.0,15.0,11.2
63786948801261,28.3,13.4,-0.1,0.0,15.0,11.7
63786948802432,26.7,11.8,-0.1,0.0,15.0,10.2
63786948803604,27.3,12.4,-0.1,0.0,15.0,10.9
63786948804775,27.8,12.9,-0.1,0.0,15.0,11.4
63786948805947,26.2,11.3,-0.1,0.0,15.0,10.0
63786948807119,27.3,12.4,-0.1,0.0,15.0,11.1
63786948808290,27.3,12.4,-0.1,0.0,15.0,10.9
63786948809462,27.6,12.7,-0.1,0.0,15.0,10.6
63786948810633,27.1,12.2,-0.1,0.0,15.0,11.0
63786948811789,26.7,11.8,-0.1,0.0,15.0,10.2
63786948812961,26.8,11.9,-0.1,0.0,15.0,10.4
63786948814133,29.0,14.1,-0.1,0.0,15.0,12.4
63786948815304,27.6,12.7,-0.1,0.0,15.0,11.2
63786948816476,26.9,12.0,-0.1,0.0,15.0,10.8
63786948817647,28.8,13.9,-0.1,0.0,15.0,12.5
63786948818803,27.8,12.9,-0.1,0.0,15.0,11.4
63786948819975,27.8,12.9,-0.1,0.0,15.0,11.5
63786948821147,27.1,12.2,-0.1,0.0,15.0,10.4
63786948822318,28.3,13.4,-0.1,0.0,15.0,12.1
63786948823490,27.5,12.6,-0.1,0.0,15.0,11.2
63786948824661,28.0,13.1,-0.1,0.0,15.0,11.4
63786948825833,26.6,11.7,-0.1,0.0,15.0,9.7
63786948827005,26.6,11.7,-0.1,0.0,15.0,10.2
63786948828176,27.2,12.3,-0.1,0.0,15.0,10.8
63786948829348,26.8,11.8,-0.1,0.0,15.0,10.3
63786948830519,28.3,13.4,-0.1,0.0,15.0,12.3
63786948831691,27.4,12.5,-0.1,0.0,15.0,11.0
63786948832878,26.9,12.0,-0.1,0.0,15.0,10.0
63786948834050,29.2,14.3,-0.1,0.0,15.0,13.2
63786948835253,29.5,14.5,-0.1,0.0,15.0,12.7
63786948836440,27.4,12.5,-0.1,0.0,15.0,11.1
63786948837627,27.7,12.8,-0.1,0.0,15.0,11.2
63786948838799,28.5,13.6,-0.1,0.0,15.0,11.8
63786948839986,28.3,13.4,-0.1,0.0,15.0,11.5
63786948841173,29.1,14.2,-0.1,0.0,15.0,12.9
63786948842360,28.0,13.1,-0.1,0.0,15.0,11.6
63786948843532,28.5,13.6,-0.1,0.0,15.0,12.2
63786948844704,28.2,13.2,-0.1,0.0,15.0,12.1
63786948845891,27.5,12.6,-0.1,0.0,15.0,11.4
63786948847078,28.5,13.6,-0.1,0.0,15.0,12.3
63786948848265,28.2,13.3,-0.1,0.0,15.0,12.2
63786948849452,27.2,12.3,-0.1,0.0,15.0,10.6
63786948850624,27.8,12.9,-0.1,0.0,15.0,11.7
63786948851796,28.8,13.9,-0.1,0.0,15.0,12.7
63786948852967,27.0,12.1,-0.1,0.0,15.0,10.8
63786948854154,27.4,12.5,-0.1,0.0,15.0,10.9
63786948855342,27.9,13.0,-0.1,0.0,15.0,11.3
63786948856529,27.8,12.9,-0.1,0.0,15.0,11.9
63786948857716,27.2,12.3,-0.1,0.0,15.0,10.8
63786948858888,27.1,12.2,-0.1,0.0,15.0,10.6
63786948860075,26.6,11.7,-0.1,0.0,15.0,10.3
63786948861246,28.0,13.1,-0.1,0.0,15.0,11.8
63786948862434,27.8,12.9,-0.1,0.0,15.0,11.5
63786948863621,27.1,12.2,-0.1,0.0,15.0,10.9
63786948864808,27.9,13.0,-0.1,0.0,15.0,11.3
63786948865995,27.9,13.0,-0.1,0.0,15.0,11.7
63786948867167,29.5,14.6,-0.1,0.0,15.0,13.5
63786948868354,28.1,13.2,-0.1,0.0,15.0,11.7
63786948869541,27.1,12.2,-0.1,0.0,15.0,11.1
63786948870729,28.9,14.0,-0.1,0.0,15.0,12.3
63786948871900,28.5,13.6,-0.1,0.0,15.0,12.1
63786948873087,28.9,14.0,-0.1,0.0,15.0,12.6
63786948874275,28.3,13.4,-0.1,0.0,15.0,12.2
63786948875462,26.8,11.9,-0.1,0.0,15.0,10.0
63786948876649,28.9,14.0,-0.1,0.0,15.0,12.5
63786948877836,26.9,12.0,-0.1,0.0,15.0,10.2
63786948879008,28.9,14.0,-0.1,0.0,15.0,12.0
63786948880195,27.0,12.1,-0.1,0.0,15.0,10.4
63786948881367,27.8,12.9,-0.1,0.0,15.0,11.8
63786948882570,27.5,12.6,-0.1,0.0,15.0,11.3
63786948883757,27.9,13.0,-0.1,0.0,15.0,11.3
63786948884944,27.8,12.9,-0.1,0.0,15.0,11.1
63786948886116,26.6,11.7,-0.1,0.0,15.0,10.1
63786948887287,27.4,12.5,-0.1,0.0,15.0,11.1
63786948888474,28.5,13.6,-0.1,0.0,15.0,12.3
63786948889662,27.0,12.1,-0.1,0.0,15.0,10.8
63786948890849,27.2,12.3,-0.1,0.0,15.0,11.1
63786948892020,27.1,12.2,-0.1,0.0,15.0,10.9
63786948893208,27.8,12.9,-0.1,0.0,15.0,11.3
63786948894395,28.1,13.2,-0.1,0.0,15.0,11.4
63786948895598,28.7,13.8,-0.1,0.0,15.0,12.3
63786948896785,29.7,14.8,-0.1,0.0,15.0,13.5
63786948897972,28.3,13.4,-0.1,0.0,15.0,11.7
63786948899191,29.1,14.2,-0.1,0.0,15.0,12.5
63786948900409,33.8,18.9,-0.1,0.0,15.0,12.2
63786948901612,31.1,16.2,-0.1,0.1,15.0,11.8
63786948902815,30.3,15.4,-0.1,0.0,15.0,13.5
