TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787006183093,28.5,13.6,-0.1,0.0,15.0,12.3
63787006184181,31.3,16.4,-0.1,0.0,15.0,14.7
63787006185276,27.7,12.8,-0.1,0.0,15.0,10.9
63787006186346,32.8,17.9,-0.1,0.0,15.0,16.7
63787006187434,32.7,17.8,-0.1,0.0,15.0,15.7
63787006188513,29.3,14.4,-0.1,0.0,15.0,13.1
63787006189584,29.1,14.2,-0.1,0.0,15.0,12.8
63787006190660,28.4,13.5,-0.1,0.0,15.0,11.9
63787006191746,28.4,13.5,-0.1,0.0,15.0,12.5
63787006192806,28.9,14.0,-0.1,0.0,15.0,12.5
63787006193894,29.2,14.3,-0.1,0.0,15.0,12.1
63787006194971,32.4,17.5,-0.1,0.0,15.0,15.2
63787006196058,29.1,14.2,-0.1,0.0,15.0,13.0
63787006197116,30.2,15.3,-0.1,0.0,15.0,13.8
63787006198205,28.4,13.5,-0.1,0.0,15.0,11.9
63787006199278,29.5,14.6,-0.1,0.0,15.0,13.3
63787006200356,26.5,11.6,-0.1,0.0,15.0,9.6
63787006201432,23.1,8.2,-0.1,0.0,15.0,7.0
63787006202486,22.8,7.9,-0.1,0.0,15.0,7.1
63787006203581,27.8,12.9,-0.1,0.0,15.0,10.2
63787006204657,28.7,13.8,-0.1,0.0,15.0,10.5
63787006205761,29.7,14.8,-0.1,0.0,15.0,11.1
63787006206863,29.2,14.3,-0.1,0.0,15.0,10.7
63787006207937,28.3,13.4,-0.1,0.0,15.0,10.1
63787006209004,28.2,13.3,-0.1,0.0,15.0,10.8
63787006210068,29.8,14.9,-0.1,0.0,15.0,11.6
63787006211143,27.6,12.7,-0.1,0.0,15.0,9.1
63787006212228,29.0,14.1,-0.1,0.0,15.0,10.3
63787006213289,28.1,13.2,-0.1,0.0,15.0,10.6
63787006214368,30.0,15.1,-0.1,0.0,15.0,11.0
63787006215443,29.4,14.5,-0.1,0.0,15.0,11.6
63787006216528,28.6,13.7,-0.1,0.0,15.0,10.1
