TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787026945278,31.7,16.7,-0.1,0.1,15.0,9.8
63787026946381,26.9,12.0,-0.1,0.0,15.0,9.1
63787026947493,28.1,13.2,-0.1,0.0,15.0,9.6
63787026948594,28.9,14.0,-0.1,0.0,15.0,11.0
63787026949703,26.7,11.8,-0.1,0.0,15.0,9.2
63787026950800,28.1,13.2,-0.1,0.0,15.0,9.9
63787026951898,28.7,13.8,-0.1,0.0,15.0,11.1
63787026953000,27.7,12.8,-0.1,0.0,15.0,9.6
63787026954091,29.8,14.9,-0.1,0.0,15.0,11.1
63787026955202,29.1,14.2,-0.1,0.0,15.0,11.5
63787026956310,27.9,13.0,-0.1,0.0,15.0,10.3
63787026957434,29.1,14.2,-0.1,0.0,15.0,10.3
63787026958542,29.4,14.5,-0.1,0.0,15.0,12.0
63787026959642,27.9,13.0,-0.1,0.0,15.0,9.7
63787026960756,34.1,19.2,-0.1,0.0,15.0,10.7
63787026961858,28.1,13.2,-0.1,0.0,15.0,9.6
63787026962965,28.3,13.4,-0.1,0.0,15.0,10.5
63787026964096,29.7,14.8,-0.1,0.0,15.0,12.0
63787026965199,29.5,14.6,-0.1,0.0,15.0,11.0
63787026966294,29.0,14.1,-0.1,0.0,15.0,10.2
63787026967401,28.6,13.7,-0.1,0.0,15.0,10.6
63787026968505,28.8,13.9,-0.1,0.0,15.0,10.1
63787026969599,27.7,12.8,-0.1,0.0,15.0,9.4
63787026970700,29.5,14.6,-0.1,0.0,15.0,11.1
63787026971817,28.6,13.7,-0.1,0.0,15.0,11.4
63787026972923,29.4,14.5,-0.1,0.0,15.0,11.5
63787026974025,26.6,11.7,-0.1,0.0,15.0,8.7
63787026975119,27.3,12.4,-0.1,0.0,15.0,9.0
63787026976220,28.3,13.4,-0.1,0.0,15.0,10.2
63787026977325,27.5,12.6,-0.1,0.0,15.0,9.1
63787026978437,27.1,12.2,-0.1,0.0,15.0,9.4
63787026979536,29.1,14.2,-0.1,0.0,15.0,10.4
63787026980644,28.2,13.3,-0.1,0.0,15.0,10.4
63787026981738,27.8,12.9,-0.1,0.0,15.0,9.9
63787026982839,29.7,14.8,-0.1,0.0,15.0,12.0
63787026983933,27.8,12.9,-0.1,0.0,15.0,9.3
63787026985034,29.3,14.4,-0.1,0.0,15.0,11.1
63787026986140,29.3,14.4,-0.1,0.0,15.0,10.6
63787026987260,27.6,12.7,-0.1,0.0,15.0,9.6
63787026988352,28.5,13.6,-0.1,0.0,15.0,10.3
63787026989449,28.8,13.9,-0.1,0.0,15.0,11.4
63787026990566,28.4,13.5,-0.1,0.0,15.0,9.7
63787026991703,28.6,13.7,-0.1,0.0,15.0,10.5
63787026992819,28.7,13.8,-0.1,0.0,15.0,11.3
63787026993916,28.5,13.6,-0.1,0.0,15.0,10.2
63787026995016,29.8,14.9,-0.1,0.0,15.0,11.6
63787026996141,28.9,14.0,-0.1,0.0,15.0,11.6
63787026997257,28.5,13.6,-0.1,0.0,15.0,10.8
63787026998360,28.3,13.4,-0.1,0.0,15.0,11.0
63787026999493,29.3,14.4,-0.1,0.0,15.0,10.7
63787027000590,29.5,14.6,-0.1,0.0,15.0,11.9
63787027001707,29.1,14.2,-0.1,0.0,15.0,11.9
63787027002803,30.3,15.4,-0.1,0.0,15.0,12.3
63787027003901,29.9,15.0,-0.1,0.0,15.0,12.5
63787027004996,29.1,14.2,-0.1,0.0,15.0,10.8
63787027006103,28.9,14.0,-0.1,0.0,15.0,11.9
63787027007195,29.1,14.2,-0.1,0.0,15.0,11.9
63787027008304,29.4,14.5,-0.1,0.0,15.0,11.2
63787027009407,28.5,13.6,-0.1,0.0,15.0,11.3
63787027010516,29.7,14.8,-0.1,0.0,15.0,12.3
63787027011628,29.8,14.9,-0.1,0.0,15.0,12.3
63787027012736,29.4,14.5,-0.1,0.0,15.0,12.1
63787027013846,29.7,14.8,-0.1,0.0,15.0,12.2
63787027014949,30.0,15.1,-0.1,0.0,15.0,12.0
63787027016043,28.7,13.8,-0.1,0.0,15.0,11.9
